timestamp,x,y,z,temperature
0.00000000,7.77777778,7.77777778,1.11111111,0.00054705
0.00000000,7.77777778,5.55555556,-5.55555556,0.00188015
0.00000000,-10.00000000,7.77777778,-1.11111111,0.00668731
0.00000000,3.33333333,1.11111111,3.33333333,0.00373303
0.00000000,-7.77777778,-5.55555556,7.77777778,0.00975169
0.00000000,10.00000000,-3.33333333,1.11111111,0.00201363
0.00000000,-1.11111111,10.00000000,-10.00000000,0.00373303
0.00000000,1.11111111,-5.55555556,-5.55555556,0.03351552
0.00000000,-10.00000000,1.11111111,10.00000000,0.00274170
0.00000000,-5.55555556,7.77777778,-10.00000000,0.01009191
0.00000000,-3.33333333,7.77777778,-10.00000000,0.00850170
0.00000000,3.33333333,5.55555556,-3.33333333,0.00413754
0.00000000,7.77777778,5.55555556,1.11111111,0.00091502
0.00000000,-5.55555556,-5.55555556,10.00000000,0.00491145
0.00000000,-7.77777778,10.00000000,-3.33333333,0.00458588
0.00000000,-7.77777778,3.33333333,7.77777778,0.00325453
0.00000000,1.11111111,-10.00000000,5.55555556,0.00821509
0.00000000,10.00000000,-1.11111111,5.55555556,0.00069547
0.00000000,-5.55555556,-7.77777778,5.55555556,0.01631107
0.00000000,7.77777778,5.55555556,5.55555556,0.00040178
0.00000000,5.55555556,-7.77777778,-1.11111111,0.01080837
0.00000000,-7.77777778,-3.33333333,-1.11111111,0.04260891
0.00000000,3.33333333,-7.77777778,-7.77777778,0.02823439
0.00000000,1.11111111,10.00000000,7.77777778,0.00030538
0.00000000,1.11111111,10.00000000,1.11111111,0.00116328
0.00000000,-10.00000000,-7.77777778,7.77777778,0.01118546
0.00000000,3.33333333,5.55555556,-5.55555556,0.00491145
0.00000000,1.11111111,-1.11111111,10.00000000,0.00158389
0.00000000,-10.00000000,-7.77777778,-3.33333333,0.07375585
0.00000000,10.00000000,-10.00000000,7.77777778,0.00071974
0.00000000,5.55555556,-1.11111111,7.77777778,0.00124586
0.00000000,1.11111111,5.55555556,5.55555556,0.00153049
0.00000000,5.55555556,1.11111111,-1.11111111,0.00474588
0.00000000,-5.55555556,-7.77777778,-10.00000000,0.08755157
0.00000000,3.33333333,-5.55555556,1.11111111,0.01118546
